Name,Symbol,Sector,Industry,Market Cap,Current Price,Volume,Investor Website,Enterprise Value,Trailing EPS,Forward EPS,Dividend Yield,Price to Book,Enterprise to EBITDA,Return on Assets,Return on Equity
Advantage Solutions Inc.,ADV,Communication Services,Advertising Agencies,1085746560,3.37,789027,https://advantagesolutions.net,2761010944,-0.24,0.59,N/A,1.0074738,8.17,0.01869,-0.06589
"Adverum Biotechnologies, Inc.",ADVM,Healthcare,Biotechnology,166884672,8.04,1794547,https://adverum.com,171530704,-11.6,-6.0,N/A,0.9770324,-1.452,-0.32138002,-0.88431
Advantage Solutions Inc.,ADVWW,Communication Services,Advertising Agencies,N/A,0.061,3500,https://advantagesolutions.net,N/A,N/A,N/A,N/A,N/A,N/A,0.01869,-0.06589
Adams Diversified Equity Fund I,ADX,Financial Services,Asset Management,2488001536,20.06,245322,https://www.adamsfunds.com/funds/diversified-equity,2488222720,4.57,N/A,0.01,0.9757284,N/A,0.0056,0.23775999
Addex Therapeutics Ltd,ADXN,Healthcare,Biotechnology,9624698,8.79,6499,https://www.addextherapeutics.com,1123858432,-18.65,N/A,N/A,976.6667,-109.581,-0.9944,-3.4848402
"Adams Resources & Energy, Inc.",AE,Energy,Oil & Gas Refining & Marketing,70877632,27.61,3830,https://www.adamsresources.com,84743248,0.68,0.13,0.0348,0.7895791,2.847,0.00427,0.01874
AltEnergy Acquisition Corp.,AEAE,Financial Services,Shell Companies,77857920,12.0,4720,https://altenergyacquisition.com,84158928,0.17,N/A,N/A,N/A,N/A,-0.0102699995,N/A
ALTENERGY ACQUISITION CORP C/WT,AEAEW,Financial Services,Shell Companies,N/A,0.0601,88885,https://altenergyacquisition.com,N/A,N/A,N/A,N/A,N/A,N/A,-0.0102699995,N/A
Ameren Corporation,AEE,Utilities,Utilities - Regulated Electric,19930914816,74.74,1826320,https://www.amereninvestors.com,37158944768,4.36,4.89,0.0359,1.7412981,11.609,0.029690001,0.10346
27762,AEF,Financial Services,Asset Management,271775904,5.355,39393,https://www.aberdeench.com,306622976,0.57,N/A,0.0672,0.89848995,N/A,0.01125,0.097799994
Aegon Funding Company LLC 5.10%,AEFC,N/A,N/A,N/A,N/A,12380,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aegon Ltd. New York Registry Sh,AEG,Financial Services,Insurance - Diversified,12136182784,6.88,2401728,https://www.aegon.com,13052432384,-0.1,0.77,0.0504,1.5966582,725.135,-0.000120000004,-0.01777
Antelope Enterprise Holdings Li,AEHL,Industrials,Building Products & Equipment,9629703,1.4027,114416,https://www.aehl-kylin.com,N/A,-5.42,N/A,N/A,0.025984587,N/A,-0.48373002,-1.59918
Aehr Test Systems,AEHR,Technology,Semiconductor Equipment & Materials,328760128,11.37,378863,https://www.aehr.com,287485472,0.52,0.53,N/A,3.8001335,20.896,0.088549994,0.19858
Alset Inc.,AEI,Real Estate,Real Estate - Development,4726534,0.5118,60956,https://www.alsetinc.com,-33794084,-6.52,N/A,N/A,0.053597234,42.254,-0.00901,-0.49931
"Advanced Energy Industries, Inc",AEIS,Industrials,Electrical Equipment & Parts,3955072256,105.63,111240,https://www.advancedenergy.com,3960297216,2.77,5.41,0.0038,3.459762,23.353,0.028299998,0.09361
Agnico Eagle Mines Limited,AEM,Basic Materials,Gold,34928312320,70.11,2640859,https://www.agnicoeagle.com,36387094528,0.79,3.22,0.0228,1.7782232,10.725,0.03241,0.02392
"Aethlon Medical, Inc.",AEMD,Healthcare,Medical Devices,1054521,0.401,1064212,https://www.aethlonmedical.com,-5911289,-5.01,-3.51,N/A,0.13681337,0.518,-0.47157001,-0.98429
Alliance Entertainment Holding ,AENT,Communication Services,Entertainment,130382848,2.56,18426,https://www.aent.com,256086624,-0.62,N/A,N/A,1.4729574,14.054,0.01592,-0.07654
Adara Acquisition Corp. Redeema,AENTW,Communication Services,Entertainment,N/A,0.05,8128,https://www.aent.com,N/A,N/A,N/A,N/A,0.0287687,N/A,0.01592,-0.07654
"American Eagle Outfitters, Inc.",AEO,Consumer Cyclical,Apparel Retail,4639104000,23.53,2642113,https://www.aeo-inc.com,5370629120,0.86,1.93,0.0212,2.668103,8.796,0.067880005,0.101940006
"AEON Biopharma, Inc.",AEON,Healthcare,Biotechnology,59856964,1.53,68456,https://www.aeonbiopharma.com,61853040,-0.32,-1.16,N/A,N/A,-1.235,N/A,N/A
American Electric Power Company,AEP,Utilities,Utilities - Regulated Electric,48848392192,92.67,2361178,https://www.aep.com,92630974464,5.37,5.98,0.038,1.892731,12.626,0.02796,0.11314
AerCap Holdings N.V.,AER,Industrials,Rental & Leasing Services,18144419840,91.48,1059541,https://www.aercap.com,62136762368,15.01,11.37,0.0109,1.0458204,14.507,0.03615,0.20053
"Aeries Technology, Inc.",AERT,Industrials,Consulting Services,53586200,1.45,94049,https://ir.aeriestechnology.com,39912556,N/A,N/A,N/A,N/A,5.59,0.09506,N/A
N/A,AERTW,Industrials,Consulting Services,N/A,0.05,2291,https://ir.aeriestechnology.com,N/A,N/A,N/A,N/A,N/A,N/A,0.09506,N/A
The AES Corporation,AES,Utilities,Utilities - Diversified,15122994176,21.28,7236982,https://www.aes.com,48094986240,0.73,2.08,0.0318,5.2144084,14.108,0.03244,-0.014780001
Atlas Energy Solutions Inc.,AESI,Energy,Oil & Gas Equipment & Services,3579124736,23.53,603754,https://atlas.energy,2901338112,1.71,3.87,0.0374,2.4237742,10.291,0.09263,0.20031
"Aeva Technologies, Inc.",AEVA,Technology,Software - Infrastructure,179679808,3.4,160303,https://www.aeva.com,-3160108,-3.17,-2.32,N/A,0.90594196,0.022,-0.33923,-0.59774
"AudioEye, Inc.",AEYE,Technology,Software - Application,256055808,22.0,170055,https://www.audioeye.com,256384704,-0.4,0.05,N/A,52.25653,-93.742,-0.09729999,-0.65352
Aeterna Zentaris Inc.,AEZS,Healthcare,Biotechnology,10343025,8.52,5644,https://www.zentaris.com,-23242238,-13.64,-3.37,N/A,0.56841683,1.292,-0.24193001,-0.61336
Aura FAT Projects Acquisition C,AFAR,Financial Services,Shell Companies,65101944,11.26,1,https://www.aurafatprojects.com,65890304,0.19,N/A,N/A,N/A,N/A,-0.013099999,N/A
