Name,Symbol,Sector,Industry,Market Cap,Current Price,Volume,Investor Website,Enterprise Value,Trailing EPS,Forward EPS,Dividend Yield,Price to Book,Enterprise to EBITDA,Return on Assets,Return on Equity 
"Nathan's Famous, Inc.",NATH,Consumer Cyclical,Restaurants,285147328,69.81,2848,https://www.nathansfamous.com,334956960,4.65,N/A,0.0286,N/A,10.054,0.32192,N/A
NCR Atleos Corporation,NATL,Technology,Software—Application,2055311744,28.5,941080,https://www.ncratleos.com,4722312704,-2.52,4.78,N/A,7.2611465,6.884,0.04537,-0.09997
"Nature's Sunshine Products, Inc",NATR,Consumer Defensive,Packaged Foods,292184896,15.6,65793,https://www.naturessunshine.com,239881488,0.85,0.96,N/A,1.902207,5.841,0.07497,0.11522
"Nautilus Biotechnology, Inc.",NAUT,Healthcare,Biotechnology,369531744,2.95,89902,https://www.nautilus.bio,221786800,-0.54,-0.79,N/A,1.4809238,-2.854,-0.157,-0.24381
Navient Corporation,NAVI,Financial Services,Credit Services,1724341504,15.42,410752,https://www.navient.com,56363335680,1.63,1.87,0.041500002,0.62340814,N/A,0.00302,0.06639
Nuveen Arizona Quality Municipa,NAZ,Financial Services,Asset Management,125987648,10.87,11804,https://www.nuveen.com/CEF/Product/Overview.aspx?FundCode=NAZ&refsrc=vu_nuveen.com/naz,N/A,-0.13,N/A,0.0477,0.89208037,N/A,0.01827,-0.14883
NioCorp Developments Ltd.,NB,Basic Materials,Other Industrial Metals & Mining,80993592,2.22,72167,https://www.niocorp.com,84293480,-0.37,-0.04,N/A,N/A,-5.473,-0.45771998,N/A
Nuveen Taxable Municipal Income,NBB,Financial Services,Asset Management,439746208,14.96,38971,https://www.nuveen.com/CEF/FundDetail.aspx?FundCode=NBB,N/A,-1.83,N/A,0.059299998,N/A,N/A,N/A,N/A
"NB Bancorp, Inc.",NBBK,Financial Services,Banks—Regional,681155904,15.95,364390,https://www.needhambank.com,426962368,N/A,0.98,N/A,N/A,N/A,N/A,0.01814
36814,NBH,Financial Services,Asset Management,306843520,10.36,38127,https://www.nb.com/Pages/Public/en-us/Products/intermediate-municipal-fund.aspx,534643200,0.12,N/A,0.0437,0.97012824,N/A,0.01935,0.0081400005
National Bank Holdings Corporat,NBHC,Financial Services,Banks—Regional,1397648512,36.95,314565,https://www.nationalbankholdings.com,1181335040,3.48,3.29,0.030299999,1.134027,N/A,0.01339,0.11258
"Neurocrine Biosciences, Inc.",NBIX,Healthcare,Drug Manufacturers—Specialty & Generic,14319638528,142.29,620677,https://www.neurocrine.com,13519770624,3.69,6.26,N/A,5.9989877,27.429,0.10082,0.18164
Northeast Bank,NBN,Financial Services,Banks—Regional,458238496,57.44,19203,https://www.northeastbank.com,625119488,7.28,6.58,0.0007,1.30214,N/A,0.01881,0.17357
Nabors Industries Ltd.,NBR,Energy,Oil & Gas Drilling,725152896,76.01,144839,https://www.nabors.com,3804098816,-14.42,6.85,N/A,2.5327382,4.245,0.03427,-0.015829999
Newbury Street Acquisition Corporation Warrants,NBSTW,Financial Services,Shell Companies,N/A,0.08,364,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.021300001,N/A
NBT Bancorp Inc.,NBTB,Financial Services,Banks—Regional,1803460736,38.25,156601,https://www.nbtbancorp.com,2002374272,2.58,3.19,0.0335,1.2513086,N/A,0.0094099995,0.08967
Nanobiotix S.A.,NBTX,Healthcare,Biotechnology,348326208,7.23,1728,https://www.nanobiotix.com,315896064,-1.18,-2.52,N/A,N/A,-13.337,-0.19715999,N/A
N/A,NBXG,N/A,N/A,953801792,12.11,131821,N/A,N/A,-0.79,N/A,0.1201,N/A,N/A,N/A,N/A
"NovaBay Pharmaceuticals, Inc.",NBY,Healthcare,Biotechnology,4486804,0.1186,133276008,https://novabay.com,4247765,-3.96,-0.01,N/A,0.9801653,-0.885,-0.24589,-1.39025
"NACCO Industries, Inc.",NC,Energy,Thermal Coal,238860480,32.06,10970,https://nacco.com,234853632,-5.45,N/A,0.0271,0.6259274,-9.065,-0.06132,-0.100109994
Nuveen California Municipal Val,NCA,Financial Services,Asset Management,287048096,8.67,79472,https://www.nuveen.com/CEF/Product/Overview.aspx?fundcode=NCA,288621024,0.08,N/A,0.0395,0.9495127,N/A,0.02321,0.00912
N/A,NCDL,N/A,N/A,948853376,17.24,95190,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Neo-Concept International Group,NCI,Consumer Cyclical,Apparel Manufacturing,21132800,1.04,257476,https://www.neo-ig.com,67508944,N/A,N/A,N/A,N/A,7.345,0.08535,N/A
Northann Corp.,NCL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",8915460,0.417,53499,https://www.northann.com,13896653,-0.35,N/A,N/A,15.444444,-3.403,-0.21245001,-5.5802803
Norwegian Cruise Line Holdings ,NCLH,Consumer Cyclical,Travel Services,6757395456,15.75,12699581,https://www.nclhltd.com,20624623616,0.81,1.72,N/A,18.661139,10.032,0.03727,2.6117802
"National CineMedia, Inc.",NCMI,Communication Services,Advertising Agencies,477071136,4.94,548507,https://www.ncm.com,443071040,17.11,0.28,N/A,1.1920849,50.349,-0.0175,N/A
NuCana plc,NCNA,Healthcare,Biotechnology,7548443,3.57,20956,https://www.nucana.com,175332192,-16.67,-12.72,N/A,0.50225097,-5.705,-0.45164,-1.03512
noco-noco Inc.,NCNC,Consumer Cyclical,Auto Parts,25013920,0.1847,761148,https://noco-noco.com,24872436,-0.13,N/A,N/A,N/A,-1.477,-22.62057,N/A
noco-noco Inc. Warrant,NCNCW,Consumer Cyclical,Auto Parts,N/A,0.0065,149790,https://noco-noco.com,N/A,N/A,N/A,N/A,N/A,N/A,-22.62057,N/A
"nCino, Inc.",NCNO,Technology,Software—Application,3657608704,31.99,372165,https://www.ncino.com,3619357184,-0.38,0.84,N/A,3.4662476,307.194,-0.01569,-0.04185
Netcapital Inc.,NCPL,Financial Services,Capital Markets,2721050,0.1315,9885780,https://www.netcapitalinc.com,2894488,-0.08,-0.08,N/A,0.05622061,-5.897,-0.00902,-0.03671
NETCAPITAL INC C/WTS 05/07/2027,NCPLW,Financial Services,Capital Markets,N/A,0.0299,54004,https://www.netcapitalinc.com,N/A,N/A,N/A,N/A,0.0035993739,N/A,-0.00902,-0.03671
"Nocera, Inc.",NCRA,Consumer Defensive,Packaged Foods,13828140,1.02,5598,https://www.nocera.company,12693415,-0.44,N/A,N/A,3.5789473,-6.888,-0.19264,-0.91976
"NCS Multistage Holdings, Inc.",NCSM,Energy,Oil & Gas Equipment & Services,44820848,17.91,957,https://www.ncsmultistage.com,62379920,5.65,2.66,N/A,0.47501594,38.13,-0.01377,0.13997
The9 Limited - American Deposit,NCTY,Financial Services,Capital Markets,38866520,6.96,16814,https://www.the9.com,11666900992,-5.82,N/A,N/A,0.15804891,-166.944,-0.2035,-1.38146
AllianzGI Convertible & Income ,NCV,Financial Services,Asset Management,292810464,3.24,200068,https://www.allianzinvestors.com/Products/pages/12.aspx,421296352,0.09,N/A,0.1259,0.8797176,N/A,0.02085,0.01875
AllianzGI Convertible & Income ,NCZ,Financial Services,Asset Management,219974672,2.89,588276,https://www.allianzinvestors.com/Products/pages/14.aspx,343514528,0.1,N/A,0.1246,0.8840624,N/A,0.02036,0.01988
"Nasdaq, Inc.",NDAQ,Financial Services,Financial Data & Stock Exchanges,36183207936,62.76,2357365,https://www.nasdaq.com,46256185344,1.87,3.02,0.0153,3.3430989,20.449,0.04538,0.11637
Noodles & Company,NDLS,Consumer Cyclical,Restaurants,94773760,2.09,159538,https://www.noodles.com,387000864,-0.28,-0.2,N/A,4.3271217,12.633,0.00479,-0.44544
N/A,NDMO,N/A,N/A,651610432,10.94,72040,N/A,N/A,-0.59,N/A,0.0792,N/A,N/A,N/A,N/A
Tortoise Energy Independence Fu,NDP,Financial Services,Asset Management,57077500,34.26,2605,https://www.tortoiseadvisors.com/ndp.cfm,N/A,-4.71,N/A,0.077199996,N/A,N/A,N/A,N/A
ENDRA Life Sciences Inc.,NDRA,Healthcare,Diagnostics & Research,3389063,0.3071,458061,https://endrainc.com,2541189,-1.58,-1.04,N/A,0.90589976,-0.248,-1.10557,-2.4138
Nordson Corporation,NDSN,Industrials,Specialty Industrial Machinery,15536261120,271.65,508989,https://www.nordson.com,17156012032,8.56,11.2,0.01,5.703578,21.04,0.09178001,0.19062
Noble Corporation plc A,NE,Energy,Oil & Gas Drilling,6813989376,47.71,439240,https://www.noblecorp.com,7188135424,3.24,5.35,0.0335,1.7413044,8.411,0.07255,0.12322
Nuveen AMT-Free Quality Municip,NEA,Financial Services,Asset Management,3282931968,10.98,726559,https://www.nuveen.com/CEF/Product/Overview.aspx?fundcode=NEA,N/A,0.12,N/A,0.0552,0.9829901,N/A,0.02286,0.010199999
"NorthEast Community Bancorp, In",NECB,Financial Services,Banks—Regional,245151264,17.47,19145,https://www.necommunitybank.com,166378768,3.41,2.43,0.0229,0.76984084,N/A,0.02754,0.16830999
"NextEra Energy, Inc.",NEE,Utilities,Utilities—Regulated Electric,156329181184,76.09,9113692,https://www.nexteraenergy.com,245372387328,3.66,3.68,0.0271,3.2139387,16.025,0.03282,0.11452
"Newegg Commerce, Inc.",NEGG,Consumer Cyclical,Internet Retail,393220000,1.03,628376,https://www.newegg.com,379877888,-0.16,-0.1,N/A,3.0294116,-6.59,-0.08534,-0.41452998
Newmont Corporation,NEM,Basic Materials,Gold,50438344704,43.74,10011914,https://www.newmont.com,57732354048,-3.27,3.8,0.0229,1.7456897,15.503,0.01538,-0.109799996
New England Realty Associates L,NEN,Real Estate,Real Estate Services,251476224,71.5,1030,https://www.thehamiltoncompany.com,397749568,2.36,N/A,0.0224,N/A,10.625,0.03322,N/A
"NeoGenomics, Inc.",NEO,Healthcare,Diagnostics & Research,1890137600,14.8,639983,https://www.neogenomics.com,2113489536,-0.66,0.16,N/A,2.0425062,-103.052,-0.0349,-0.08877
Neogen Corporation,NEOG,Healthcare,Diagnostics & Research,2932872192,13.54,2363167,https://www.neogen.com,3669438976,0.02,0.55,N/A,0.9321859,14.87,0.01794,0.0005
Neonode Inc.,NEON,Technology,Electronic Components,33790900,2.2,35162,https://www.neonode.com,19591858,-0.71,0.3,N/A,2.244898,-1.731,-0.31931,-0.52647996
NeoVolta Inc.,NEOV,Industrials,Electrical Equipment & Parts,83754968,2.52,111556,https://www.neovolta.com,88570512,-0.06,-0.04,N/A,14.823529,N/A,-0.18923001,-0.30135
NeoVolta Inc. Warrant,NEOVW,Industrials,Electrical Equipment & Parts,N/A,0.396,500,https://www.neovolta.com,N/A,N/A,N/A,N/A,3.1181102,N/A,-0.18923001,-0.30135
"NextEra Energy Partners, LP",NEP,Utilities,Utilities—Renewable,3165369856,33.84,1333949,https://www.nexteraenergypartners.com,19632367616,1.32,1.56,0.1033,0.889894,32.885,-0.00031,-0.00105
"Nephros, Inc.",NEPH,Healthcare,Medical Instruments & Supplies,24884074,2.36,60135,https://www.nephros.com,19670718,-0.15,0.04,N/A,2.9760404,-14.264,-0.087110005,-0.18273
"Minerva Neurosciences, Inc",NERV,Healthcare,Biotechnology,17623394,2.52,2143,https://www.minervaneurosciences.com,67072144,-4.43,-3.6,N/A,N/A,-2.744,-0.29936,N/A
"Cloudflare, Inc.",NET,Technology,Software—Infrastructure,25562628096,75.23,2515267,https://www.cloudflare.com,25283082240,-0.53,0.8,N/A,32.053688,-316.276,-0.044060003,-0.25024998
Nabors Energy Transition Corp. ,NETD,Financial Services,Shell Companies,401837504,10.54,651,https://www.nabors-etcorp.com,401378144,N/A,N/A,N/A,1.3227912,N/A,N/A,N/A
Nabors Energy Transition Corp. ,NETDU,Financial Services,Shell Companies,N/A,10.55,100,https://www.nabors-etcorp.com,400996896,N/A,N/A,N/A,1.3240463,N/A,N/A,N/A
Nabors Energy Transition Corp. ,NETDW,Financial Services,Shell Companies,N/A,0.1233,300,https://www.nabors-etcorp.com,N/A,N/A,N/A,N/A,0.015474398,N/A,N/A,N/A
NewMarket Corp,NEU,Basic Materials,Specialty Chemicals,5287870976,551.15,31463,https://www.newmarket.com,6525479936,41.56,25.82,0.018099999,4.5890164,10.514,0.12189999,0.40425
"NeueHealth, Inc.",NEUE,Healthcare,Healthcare Plans,49264992,5.99,5050,https://www.neuehealth.com,1043104128,N/A,-1.69,N/A,N/A,-8.415,-0.03091,-2.0222
New Pacific Metals Corp.,NEWP,Basic Materials,Other Precious Metals & Mining,393703680,2.29,308033,https://www.newpacificmetals.com,322590784,-0.04,-0.05,N/A,2.8132677,-45.738,-0.03462,-0.057930004
"NewtekOne, Inc.",NEWT,Financial Services,Banks—Regional,338111040,13.67,107047,https://www.newtekone.com,899234240,1.51,2.13,0.0556,1.4413749,6.649,0.06007,0.16278
"NewtekOne, Inc. - 8.00% Fixed R",NEWTI,N/A,N/A,N/A,N/A,3234,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"NewtekOne, Inc. - 5.75% Notes d",NEWTL,N/A,N/A,N/A,24.96,4836,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"NewtekOne, Inc. - 5.50% Notes D",NEWTZ,N/A,N/A,N/A,N/A,1085,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nexa Resources S.A.,NEXA,Basic Materials,Other Industrial Metals & Mining,991968064,7.49,25048,https://www.nexaresources.com,2683877632,-2.21,0.74,N/A,0.8616128,10.448,-0.00579,-0.18306999
"NexImmune, Inc.",NEXI,Healthcare,Biotechnology,4573823,3.336,5329,https://www.neximmune.com,1440183,-30.82,-3.75,N/A,1.0136737,-0.051,-0.70621,-1.8064301
Nexxen International Ltd. - Ame,NEXN,Communication Services,Advertising Agencies,407651072,5.73,31506,https://nexxen.com,714299968,N/A,0.66,N/A,N/A,17.391,-0.0101,-0.03924
NextDecade Corporation,NEXT,Energy,Oil & Gas E&P,1800798080,6.98,957781,https://www.next-decade.com,4908154368,-0.6,-0.21,N/A,3.4554455,-36.776,-0.037100002,-0.01076
"Northfield Bancorp, Inc.",NFBK,Financial Services,Banks—Regional,432355936,9.75,172418,https://www.enorthfield.com,1341688192,0.75,0.92,0.0533,0.6207028,N/A,0.00559,0.046079997
New Fortress Energy Inc.,NFE,Utilities,Utilities—Regulated Gas,5479309824,26.72,1398239,https://www.newfortressenergy.com,13287609344,2.2,3.07,0.015,3.2781253,11.762,0.06062,0.27139
National Fuel Gas Company,NFG,Energy,Oil & Gas Integrated,5203472384,56.61,620759,https://www.nationalfuel.com,7818175488,5.04,6.04,0.035,1.5770999,6.525,0.05643,0.15062
New Found Gold Corp,NFGC,Basic Materials,Gold,716064320,3.78,436728,https://newfoundgold.ca,623401728,-0.33,-0.28,N/A,10.76923,-6.11,-0.65833,-1.07253
"AllianzGI NFJ Dividend, Interes",NFJ,Financial Services,Asset Management,1181227904,12.46,143720,N/A,1142631680,1.01,N/A,0.089899994,0.8763539,N/A,0.00842,0.07091
"Netflix, Inc.",NFLX,Communication Services,Entertainment,267632590848,621.1,3774881,https://www.netflix.com,277138210816,14.41,22.36,N/A,12.528239,33.69,0.10009,0.29795998
Enphys Acquisition Corp.,NFYS,Financial Services,Shell Companies,162222512,10.9,128,https://enphyspac.com,162709920,0.49,N/A,N/A,N/A,N/A,-0.00233,N/A
Novagold Resources Inc.,NG,Basic Materials,Gold,1171397504,3.49,1831369,https://www.novagold.com,1190552576,-0.14,-0.07,N/A,N/A,-53.102,-0.10079,-17.91479
New Gold Inc.,NGD,Basic Materials,Gold,1469828096,2.11,21513335,https://www.newgold.com,1691239168,-0.1,0.21,N/A,1.9756554,5.718,0.01429,-0.09441
"National Grid Transco, PLC Nati",NGG,Utilities,Utilities—Regulated Electric,54205186048,72.83,225261,https://www.nationalgrid.com,312512053248,4.4,5.03,0.048499998,9.10375,53.761,0.026789999,0.09232
NGL ENERGY PARTNERS LP,NGL,Energy,Oil & Gas Midstream,755324096,5.7,432846,https://www.nglenergypartners.com,4405049856,-0.6,0.72,N/A,1.3754826,6.721,0.04271,0.043720003
Neurogene Inc.,NGNE,Healthcare,Biotechnology,432373824,33.31,49339,https://www.neurogene.com,235533008,N/A,-4.3,N/A,N/A,-4.505,-0.20938,-0.25517
"Natural Gas Services Group, Inc",NGS,Energy,Oil & Gas Equipment & Services,295381120,23.75,48600,https://www.ngsgi.com,450415968,0.38,1.37,N/A,1.2461958,10.685,0.024330001,0.02037
Natural Grocers by Vitamin Cott,NGVC,Consumer Defensive,Grocery Stores,485923296,21.32,55310,https://www.naturalgrocers.com,842274240,1.25,0.82,0.0188,3.0348754,11.849,0.03796,0.17807
Ingevity Corporation,NGVT,Basic Materials,Specialty Chemicals,1945444736,53.55,227016,https://www.ingevity.com,3414142208,-3.05,5.07,N/A,3.4234753,9.468,0.058390003,-0.17327
National HealthCare Corporation,NHC,Healthcare,Medical Care Facilities,1546129920,100.4,30176,https://www.nhccare.com,1416129280,5.27,0.43,0.024300002,1.6719401,14.252,0.027460001,0.08885
"National Health Investors, Inc.",NHI,Real Estate,REIT—Healthcare Facilities,2888183552,66.51,121267,https://www.nhireit.com,4462068224,3.05,3.01,0.0541,1.9716014,18.049,0.044239998,0.10238
Neuberger Berman High Yield Str,NHS,Financial Services,Asset Management,206164160,7.95,82251,https://www.nb.com/Pages/Public/en-us/Products/high-yield-strategies-fund.aspx,N/A,0.16,N/A,0.1366,1.0601413,N/A,0.04131,0.020499999
Natural Health Trends Corp. - C,NHTC,Consumer Cyclical,Internet Retail,80963104,7.03,21714,https://www.naturalhealthtrendscorp.com,29564604,0.05,N/A,0.113800004,2.0465794,-19.855,-0.013890001,0.011419999
NiSource Inc,NI,Utilities,Utilities—Regulated Gas,13103954944,29.23,6936941,https://www.nisource.com,27871664128,1.54,1.85,0.0363,1.6591928,12.777,0.02954,0.0828
Nicolet Bankshares Inc.,NIC,Financial Services,Banks—Regional,1250531200,83.74,24704,https://www.nicoletbank.com,979723136,6.51,7.07,0.0119,1.1754632,N/A,0.0117999995,0.09696999
NICE Ltd,NICE,Technology,Software—Application,12773196800,193.55,1388290,https://www.nice.com,11326476288,5.55,12.04,N/A,3.5530062,17.804,0.057129998,0.11164
"Nicholas Financial, Inc.",NICK,Financial Services,Credit Services,48044792,6.59,6245,https://www.nicholasfinancial.com,40429000,-4.99,N/A,N/A,0.8133794,N/A,-0.35466,-0.47062
AllianzGI Equity & Convertible ,NIE,Financial Services,Asset Management,625946304,22.59,26215,https://www.allianzinvestors.com/Products/pages/456.aspx,N/A,-3.86,N/A,0.1015,N/A,N/A,N/A,N/A
Nuveen Select Maturities Munici,NIM,Financial Services,Asset Management,111397064,8.95,56735,https://www.nuveen.com/CEF/Product/Overview.aspx?FundCode=NIM&refsrc=vu_nuveen.com/nim,109978224,0.26,N/A,0.0349,0.93482345,N/A,0.01941,0.027520001
"Nine Energy Service, Inc.",NINE,Energy,Oil & Gas Equipment & Services,66057564,1.87,842843,https://nineenergyservice.com,416045504,-1.02,-0.62,N/A,N/A,7.399,0.025339998,N/A
NIO Inc.,NIO,Consumer Cyclical,Auto Manufacturers,11275863040,5.28,58237597,https://www.nio.com,-286996096,-1.72,-0.72,N/A,0.42484713,0.015,-0.13255,-0.73452
NioCorp Developments Ltd. Warra,NIOBW,N/A,N/A,N/A,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NiSun Intl Enterprise Developme,NISN,Financial Services,Credit Services,29730240,7.4,107515,https://ir.nisun-nasdaq.com,-87970752,3.62,N/A,N/A,0.1544982,-5.245,0.03071,0.075500004
"N2OFF, Inc.",NITO,Basic Materials,Agricultural Inputs,3287482,1.1,206758,https://www.n2off.htmline.com,-1577965,N/A,N/A,N/A,N/A,0.268,-0.53836,-1.19055
Niu Technologies,NIU,Consumer Cyclical,Auto Manufacturers,185460416,2.39,289938,https://www.niu.com,-493833920,-0.48,0.3,N/A,0.16949153,2.914,-0.083979994,-0.22618
NewGenIvf Group Limited,NIVF,N/A,N/A,11467807,N/A,219569,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NewGenIvf Group Limited Warrant,NIVFW,N/A,N/A,N/A,N/A,35766,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NewJersey Resources Corporation,NJR,Utilities,Utilities—Regulated Gas,4359051776,44.11,342734,https://www.njresources.com,N/A,2.52,2.86,0.0381,2.162255,N/A,0.03622,0.11903
"Nike, Inc.",NKE,Consumer Cyclical,Footwear & Accessories,139132813312,92.18,11934933,https://www.nike.com,140664700928,3.4,3.94,0.0161,9.790759,20.499,0.09891,0.36381
"NKGen Biotech, Inc.",NKGN,Healthcare,Biotechnology,25194064,1.12,46548,https://nkgenbiotech.com,45437320,-5.38,N/A,N/A,N/A,-1.592,-1.13323,N/A
"NKGen Biotech, Inc. Warrants",NKGNW,Healthcare,Biotechnology,N/A,0.09,3121,https://nkgenbiotech.com,N/A,N/A,N/A,N/A,N/A,N/A,-1.13323,N/A
Nikola Corporation,NKLA,Industrials,Farm & Heavy Construction Machinery,725618624,0.5349,57423925,https://www.nikolamotor.com,658168256,-1.06,-0.33,N/A,1.2240275,-1.099,-0.34579,-1.53177
"National Bankshares, Inc.",NKSH,Financial Services,Banks—Regional,187363264,31.79,5603,https://www.nationalbankshares.com/overview/default.aspx,67098148,2.26,2.75,0.049099997,1.3432206,N/A,0.00798,0.09861
Nektar Therapeutics,NKTR,Healthcare,Biotechnology,322261856,1.755,1140917,https://www.nektar.com,249952352,-1.45,-0.76,N/A,2.5657895,-1.962,-0.15247,-1.1094899
"Nkarta, Inc.",NKTX,Healthcare,Biotechnology,460153440,6.53,496264,https://www.nkartatx.com,109933560,-2.35,-1.93,N/A,0.9712926,-0.936,-0.15071,-0.28332
Nuveen California AMT-Free Qual,NKX,Financial Services,Asset Management,559313984,11.77,118734,https://www.nuveen.com/CEF/Product/Overview.aspx?fundcode=NKX,N/A,-0.28,N/A,0.051599998,0.9205381,N/A,0.0179,-0.17052001
"NL Industries, Inc.",NL,Industrials,Security & Protection Services,355019552,7.27,46277,https://nl-ind.com,209558432,0.23,0.85,0.044,0.9644468,12.3,0.01413,0.03542
Net Lease Office Properties,NLOP,Real Estate,REIT—Office,368001120,24.89,196932,https://www.nloproperties.com/overview/default.aspx,847375616,N/A,N/A,0.0546,N/A,6.703,0.023729999,-0.18545
NLS Pharmaceutics Ltd.,NLSP,Healthcare,Biotechnology,7104546,0.164,864524,https://nlspharma.com,6054404,-0.5,-0.55,N/A,N/A,-0.513,-1.32684,N/A
NLS Pharmaceutics Ltd.,NLSPW,Healthcare,Biotechnology,N/A,0.031,144,https://nlspharma.com,N/A,N/A,N/A,N/A,N/A,N/A,-1.32684,N/A
Annaly Capital Management Inc.,NLY,Real Estate,REIT—Mortgage,10183954432,20.35,1801151,https://www.annaly.com,87919599616,-0.97,2.71,0.1278,1.0314765,N/A,-0.00375,-0.02854
N/A,NMAI,N/A,N/A,417485728,12.49,63812,N/A,N/A,0.64,N/A,0.113000005,N/A,N/A,N/A,N/A
N/A,NMCO,Financial Services,Asset Management,584188224,10.66,99393,N/A,N/A,-0.47,N/A,0.0563,1.0596421,N/A,0.02549,-0.044260003
New Mountain Finance Corporatio,NMFC,Financial Services,Asset Management,1338178560,12.59,313481,https://www.newmountainfinance.com,2989556224,1.1,1.4,0.108,0.9862134,N/A,0.053579997,0.08817001
New Mountain Finance Corporatio,NMFCZ,N/A,N/A,N/A,N/A,32238,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nouveau Monde Graphite Inc.,NMG,Basic Materials,Other Industrial Metals & Mining,233705056,2.07,85844,https://nmg.com,128762712,-0.67,-0.31,N/A,1.8801091,-1.925,-0.30367002,-0.94913
Nature's Miracle Holding Inc.,NMHI,Industrials,Specialty Industrial Machinery,17730784,0.674,166550,https://www.nature-miracle.com,25825742,N/A,N/A,N/A,N/A,-5.325,-0.17885,N/A
Nature's Miracle Holding Inc. W,NMHIW,Industrials,Specialty Industrial Machinery,N/A,0.04,104,https://www.nature-miracle.com,N/A,N/A,N/A,N/A,N/A,N/A,-0.17885,N/A
"Nuveen Municipal Income Fund, I",NMI,Financial Services,Asset Management,94379832,9.39,21375,https://www.nuveen.com/CEF/Product/Overview.aspx?FundCode=NMI&refsrc=vu_nuveen.com/nmi,93530328,0.29,N/A,0.046,1.02455,N/A,0.02478,0.03154
NMI Holdings Inc,NMIH,Financial Services,Insurance—Specialty,2747820032,34.23,284907,https://www.nationalmi.com,2995857920,4.04,4.56,N/A,1.3936161,6.306,0.102690004,0.18274
1525,NML,Financial Services,Asset Management,437406688,7.72,195723,N/A,N/A,-0.79,N/A,0.105399996,N/A,N/A,N/A,N/A
Navios Maritime Partners LP,NMM,Industrials,Marine Shipping,1425609216,47.23,108325,https://www.navios-mlp.com,3245602816,14.08,15.87,0.0041,0.52518624,5.147,0.05386,0.16961001
Nomura Holdings Inc,NMR,Financial Services,Capital Markets,17612095488,5.91,784503,https://www.nomuraholdings.com,8207557197824,0.34,0.43,N/A,0.0052406485,N/A,0.0034400001,0.05312
"Neumora Therapeutics, Inc.",NMRA,Healthcare,Biotechnology,1542597120,9.67,316567,https://www.neumoratx.com,1124311040,-1.59,-1.61,N/A,3.62988,-5.394,-0.31031,-0.64283997
"Newmark Group, Inc.",NMRK,Real Estate,Real Estate Services,2711256832,11.22,2430964,https://www.nmrk.com,3965884416,0.21,1.33,0.0107,1.5847458,13.73,0.01759,0.033970002
Nuveen Minnesota Quality Munici,NMS,Financial Services,Asset Management,63431968,10.961,1841,https://www.nuveen.com/CEF/Product/Overview.aspx?fundcode=NMS,N/A,-0.52,N/A,0.0462,N/A,N/A,N/A,N/A
Nuveen Massachusetts Quality Mu,NMT,Financial Services,Asset Management,99959928,10.72,5629,https://www.nuveen.com/CEF/Product/MTP.aspx?FundCode=NMT,170686704,0.29,N/A,0.0465,0.8842696,N/A,0.01973,0.02463
NeuroOne Medical Technologies C,NMTC,Healthcare,Medical Devices,28005374,1.08,41544,https://www.n1mtc.com,27033992,-0.68,-0.28,N/A,6.0674157,-2.027,-1.09489,-2.14006
Nuveen Municipal High Income Op,NMZ,Financial Services,Asset Management,1169502592,10.58,120627,https://www.nuveen.com/CEF/Product/Overview.aspx?FundCode=NMZ&refsrc=vu_nuveen.com/nmz,N/A,0.07,N/A,0.0539,1.1157984,N/A,0.029189998,0.00678
NextNav Inc.,NN,Technology,Software—Infrastructure,977670016,8.1,640235,https://www.nextnav.com,967082688,-0.79,-0.47,N/A,16.297787,-15.842,-0.29069,-1.16158
99 Acquisition Group Inc.,NNAG,Financial Services,Shell Companies,131534504,10.46,132545,N/A,105165648,N/A,N/A,N/A,N/A,N/A,-0.00185,N/A
99 Acquisition Group Inc.,NNAGU,Financial Services,Shell Companies,N/A,10.6,3009,N/A,106576144,N/A,N/A,N/A,N/A,N/A,-0.00185,N/A
NextNav Inc. Warrant,NNAVW,Technology,Software—Infrastructure,N/A,3.35,45341,https://www.nextnav.com,N/A,-1.369,N/A,N/A,16.75,N/A,-0.29069,-1.16158
"NN, Inc.",NNBR,Industrials,Conglomerates,166515984,3.33,182211,https://www.nninc.com,447850144,-1.4,-0.01,N/A,1.4200426,16.204,-0.02301,-0.23111
Nano Dimension Ltd.,NNDM,Technology,Computer Hardware,599907264,2.71,1641019,https://www.nano-di.com,-236770544,-0.22,0.01,N/A,0.6371973,1.901,-0.06973,-0.05139
Nano Nuclear Energy Inc.,NNE,Industrials,Specialty Industrial Machinery,111992440,3.92,382990,https://nanonuclearenergy.com,94050000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Nelnet, Inc.",NNI,Financial Services,Credit Services,4008734464,110.23,52266,https://www.nelnet.com,14363481088,3.71,6.0,0.010199999,1.2243289,N/A,0.00612,0.03161
